LastFoundTime,RiskName,RiskId,InstanceId,InstanceName,RegionId,PublicIp,PrivateIp,Item,Type,Level,Status
2022-01-18 07:12:54,Alibaba Cloud Standard - Windows 2012 R2 Security Baseline,51,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Configure password age policies.,Identity authentication,high,Failed
2022-01-18 07:12:54,Alibaba Cloud Standard - Windows 2012 R2 Security Baseline,51,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Use strong passwords.,Identity authentication,high,Failed
2022-01-18 07:12:54,Alibaba Cloud Standard - Windows 2012 R2 Security Baseline,51,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Set Enforce password history to between 5 and 24,Identity authentication,high,Failed
2022-01-18 07:12:54,Alibaba Cloud Standard - Windows 2012 R2 Security Baseline,51,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Configure account lockout policies.,Identity authentication,high,Failed
2022-01-18 07:12:54,Alibaba Cloud Standard - Windows 2012 R2 Security Baseline,51,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Config the Event Audit policys,Security audit,high,Failed
2022-01-18 07:12:54,Alibaba Cloud Standard - Windows 2012 R2 Security Baseline,51,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Check the access permissions of anonymous users.,Access control,high,Failed
2022-01-18 07:12:54,Alibaba Cloud Standard - Windows 2012 R2 Security Baseline,51,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Configure security policies for accounts.,Identity authentication,high,Success
2022-01-18 07:12:54,Alibaba Cloud Standard - Windows 2012 R2 Security Baseline,51,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Configure the idle session timeout period.,Access control,high,Success
2022-01-18 07:12:54,Alibaba Cloud Standard - Windows 2012 R2 Security Baseline,51,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Configure Interactive logon: Prompt user to change password before expiration.,Identity authentication,high,Success
2022-01-18 07:12:54,Alibaba Cloud Standard - Windows 2012 R2 Security Baseline,51,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Disable all users from shutting down the system without logon.,Access control,high,Success
2022-01-18 07:12:54,Alibaba Cloud Standard - Windows 2012 R2 Security Baseline,51,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Check whether high-risk accounts exist.,Identity authentication,high,Success
2022-01-18 07:12:54,Alibaba Cloud Standard - Windows 2012 R2 Security Baseline,51,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Check auto-startup items in the registry.,Service configuration,high,Success
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Ensure password expiration period is set.,Identity authentication,high,Failed
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,set the shortest Interval Between Password Modifications,Identity authentication,high,Failed
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Ensure SSH Idle Timeout Interval is configured,Service configuration,high,Failed
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Password Complexity Check,Identity authentication,high,Failed
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Ensure password reuse is limited,Identity authentication,high,Failed
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Ensure password fields are not empty,Identity authentication,high,Success
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Disable SSH Logon for Accounts Without Specified Passwords,SSH Server Configuration,high,Success
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Ensure password expiration warning days is 7 or more.,Identity authentication,high,Success
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Ensure SSH MaxAuthTries is set between 3 and 6.,SSH Server Configuration,high,Success
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Ensure rsyslog Service is enabled.,Security audit,high,Success
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Ensure SSH LogLevel is set to INFO,Service configuration,high,Success
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Authority settings for access control configuration files.,File right,high,Success
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Authority settings for user access control configuration files.,File right,high,Success
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Enable ASLR,Intrusion Prevention,high,Success
2022-01-18 08:56:12,Alibaba Cloud Standard - CentOS Linux 7/8 Security Baseline Check,43,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Ensure root is the only UID 0 account,Identity authentication,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Audit Docker files and directories,Security audit,high,Failed
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Restrict network traffic between containers,Service configuration,high,Failed
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Enable Content trust for Docker,Service configuration,medium,Failed
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Confirm that the docker related files have the appropriate permissions,File right,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Set the logging level,Service configuration,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Allow Docker to make changes to iptables,Service configuration,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Do not use the aufs storage driver,Service configuration,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Do not use privileged containers,Service configuration,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Do not mount sensitive host system directories on containers,Service configuration,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Limit memory usage for container,Service configuration,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Do not share the host's process namespace,Service configuration,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Mount container's root filesystem as read only,Service configuration,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Make sure docker.sock is not mounted ,File right,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,There is an escape vulnerability in version,Intrusion Prevention,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Docker registry API unauthorized access vulnerability,Intrusion Prevention,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Docker daemon listens at 0.0.0.0,Access control,high,Success
2022-01-18 03:24:02,Alibaba Cloud Standard -DockerSecurity Baseline Check,92,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,Docker CP command can lead to container escape attack vulnerability,Intrusion Prevention,high,Success
2022-01-18 07:12:58,Alibaba Cloud Standard - IIS 8 Security Baseline Check,89,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Ensure Unlisted File Extensions are not allowed,Service configuration,high,Failed
2022-01-18 07:12:58,Alibaba Cloud Standard - IIS 8 Security Baseline Check,89,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Ensure 'httpcookie' mode is configured for session state,Service configuration,high,Failed
2022-01-18 07:12:58,Alibaba Cloud Standard - IIS 8 Security Baseline Check,89,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Ensure 'debug' is turned off,Service configuration,high,Success
2022-01-18 07:12:58,Alibaba Cloud Standard - IIS 8 Security Baseline Check,89,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Ensure 'directory browsing' is set to disabled,Service configuration,high,Success
2022-01-18 07:12:58,Alibaba Cloud Standard - IIS 8 Security Baseline Check,89,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Ensure 'notListedIsapisAllowed' is set to false,Service configuration,high,Success
2022-01-18 07:12:58,Alibaba Cloud Standard - IIS 8 Security Baseline Check,89,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Ensure Handler is not granted Write and Script/Execute,Service configuration,high,Success
2022-01-18 07:12:58,Alibaba Cloud Standard - IIS 8 Security Baseline Check,89,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Ensure IIS logging is enabled,Service configuration,high,Success
2022-01-18 07:12:58,Alibaba Cloud Standard - IIS 8 Security Baseline Check,89,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Ensure Default IIS web log location is moved,Service configuration,high,Success
2022-01-18 07:12:54,Weak password - Windows system login weak password baseline,106,i-gw8fmfi2vj85ejovlmum,launch-advisor-20200714,eu-central-1,8.211.4.8,172.21.1.73,Windows system login weak password check,Identity authentication,high,Failed
2022-01-18 08:56:13,CentOS Linux 7 Baseline for China classified protection of cybersecurity-Level III,47,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,"Make sure that each user has a unique user ID, does not use simple passwords, and changes the password periodically",Identity authentication,high,Failed
2022-01-18 08:56:13,CentOS Linux 7 Baseline for China classified protection of cybersecurity-Level III,47,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,"Configure and enable measures of handling failed logons, including terminating the session, restricting the number of failed logons, and automatically terminating the session upon session timeout",Identity authentication,high,Failed
2022-01-18 08:56:13,CentOS Linux 7 Baseline for China classified protection of cybersecurity-Level III,47,i-gw85pnpok1yn7z0xbfsr,vodafone-vpn-test,eu-central-1,47.254.159.6,172.21.1.131,"Rename the default administrator account and modify its default password, or delete this account",Access control,high,Failed
